time_steps,reward ep.,length
163840,1255.0844678339786,443.6
327680,12689.224825564044,239.8
491520,-4547.0392422030745,368.6
655360,26588.38626749997,314.4
819200,-1426.5314347565654,367.0
983040,-4.764670463695438,359.4
